topic #,seat_type,coal,ncoal,topic_id,top_words
8,sum,0.04288091372925615,0.0459402315816619,1164,"['okosteu', 'okolog', 'umweltpolit', 'steuerreform', 'steu', 'rotgrun', 'belast', 'grun', 'oko', 'pfennig']"
9,direct,0.0352944393052186,0.0198891340317517,1148,"['emissionshandel', 'zertifikat', 'instrument', 'klimaschutz', 'tonn', 'handelsperiod', 'emission', 'emissionsrecht', 'industri', 'national']"
9,list,0.0281987975256792,0.0265928498915418,1148,"['emissionshandel', 'zertifikat', 'instrument', 'klimaschutz', 'tonn', 'handelsperiod', 'emission', 'emissionsrecht', 'industri', 'national']"
9,sum,0.0458460171782885,0.03653741690741765,1148,"['emissionshandel', 'zertifikat', 'instrument', 'klimaschutz', 'tonn', 'handelsperiod', 'emission', 'emissionsrecht', 'industri', 'national']"
10,direct,0.0198441731881329,0.0187135273008542,1158,"['kohlekraftwerk', 'kraftwerk', 'neu', 'bau', 'wirkungsgrad', 'gaskraftwerk', 'neubau', 'gebaut', 'geplant', 'gabriel']"
10,list,0.0330100336186712,0.0239569198033674,1158,"['kohlekraftwerk', 'kraftwerk', 'neu', 'bau', 'wirkungsgrad', 'gaskraftwerk', 'neubau', 'gebaut', 'geplant', 'gabriel']"
10,sum,0.04293212021273765,0.0333136834537945,1158,"['kohlekraftwerk', 'kraftwerk', 'neu', 'bau', 'wirkungsgrad', 'gaskraftwerk', 'neubau', 'gebaut', 'geplant', 'gabriel']"
11,direct,0.0361745837357275,0.0249825565762715,1167,"['forschung', 'bildung', 'innovation', 'hochschul', 'wissenschaft', 'bulmahn', 'entwickl', 'neu', 'eigenheimzulag', 'forschungspolit']"
11,list,0.0295444016252558,0.0255707046292971,1167,"['forschung', 'bildung', 'innovation', 'hochschul', 'wissenschaft', 'bulmahn', 'entwickl', 'neu', 'eigenheimzulag', 'forschungspolit']"
11,sum,0.04763169349311955,0.038061982917432846,1167,"['forschung', 'bildung', 'innovation', 'hochschul', 'wissenschaft', 'bulmahn', 'entwickl', 'neu', 'eigenheimzulag', 'forschungspolit']"
12,direct,0.0532096955827057,0.019475503970278,1151,"['ost', 'ostdeutsch', 'ostdeutschland', 'bundesland', 'west', 'neu', 'aufbau', 'einheit', 'ddr', 'braunkohl']"
12,list,0.0370219816899921,0.0148854430126611,1151,"['ost', 'ostdeutsch', 'ostdeutschland', 'bundesland', 'west', 'neu', 'aufbau', 'einheit', 'ddr', 'braunkohl']"
12,sum,0.06362682948134495,0.0246231949978001,1151,"['ost', 'ostdeutsch', 'ostdeutschland', 'bundesland', 'west', 'neu', 'aufbau', 'einheit', 'ddr', 'braunkohl']"
13,direct,0.0126840955481167,0.0237663873196194,1159,"['energiew', 'ausbau', 'eegumlag', 'netzausbau', 'cent', 'erneuerbar', 'netz', 'jahr', 'strom', 'rosl']"
13,list,0.0195344916634915,0.0336366591748301,1159,"['energiew', 'ausbau', 'eegumlag', 'netzausbau', 'cent', 'erneuerbar', 'netz', 'jahr', 'strom', 'rosl']"
13,sum,0.025876539437549848,0.0455198528346398,1159,"['energiew', 'ausbau', 'eegumlag', 'netzausbau', 'cent', 'erneuerbar', 'netz', 'jahr', 'strom', 'rosl']"
14,direct,0.052432931285191,0.0203827309282668,1154,"['steinkohl', 'subvention', 'bergleut', 'bergbau', 'nordrheinwestfal', 'sozialvertrag', 'saarland', 'deutsch', 'rag', 'steinkohlebergbau']"
14,list,0.043683318641781,0.021200374272131,1154,"['steinkohl', 'subvention', 'bergleut', 'bergbau', 'nordrheinwestfal', 'sozialvertrag', 'saarland', 'deutsch', 'rag', 'steinkohlebergbau']"
14,sum,0.0698997842843765,0.0313917397362644,1154,"['steinkohl', 'subvention', 'bergleut', 'bergbau', 'nordrheinwestfal', 'sozialvertrag', 'saarland', 'deutsch', 'rag', 'steinkohlebergbau']"
15,direct,0.0326343852783331,0.0320815042117255,1153,"['wettbewerb', 'strom', 'netz', 'verbrauch', 'markt', 'preis', 'stadtwerk', 'strompreis', 'unternehm', 'mehr']"
15,list,0.0312760581913714,0.0258972829828194,1153,"['wettbewerb', 'strom', 'netz', 'verbrauch', 'markt', 'preis', 'stadtwerk', 'strompreis', 'unternehm', 'mehr']"
15,sum,0.04759325083053795,0.04193803508868215,1153,"['wettbewerb', 'strom', 'netz', 'verbrauch', 'markt', 'preis', 'stadtwerk', 'strompreis', 'unternehm', 'mehr']"
16,direct,0.0352175648114725,0.0428136032612638,1149,"['kernenergi', 'kernkraftwerk', 'ausstieg', 'energiepolit', 'deutschland', 'nutzung', 'frag', 'reaktor', 'tschernobyl', 'energieversorg']"
16,list,0.0311095644115627,0.0269284507845789,1149,"['kernenergi', 'kernkraftwerk', 'ausstieg', 'energiepolit', 'deutschland', 'nutzung', 'frag', 'reaktor', 'tschernobyl', 'energieversorg']"
16,sum,0.048718346817298946,0.048335252415210805,1149,"['kernenergi', 'kernkraftwerk', 'ausstieg', 'energiepolit', 'deutschland', 'nutzung', 'frag', 'reaktor', 'tschernobyl', 'energieversorg']"
17,direct,0.0343400250409158,0.0361124159109516,1168,"['million', 'haushalt', 'mittel', 'einzelplan', 'euro', 'programm', 'minist', 'bereich', 'forder', 'jahr']"
