0.00000000000000e+00 1.000e+00
4.14450217120830e+06   inf
4.13832168125769e+06 1.491e-03
4.14417790923361e+06 1.415e-03
4.14981718767628e+06 1.361e-03
4.15448452802734e+06 1.125e-03
4.15830205866692e+06 9.189e-04
4.16130266310153e+06 7.216e-04
4.16379887353581e+06 5.999e-04
4.16584477375472e+06 4.914e-04
4.16759336288124e+06 4.197e-04
4.16902971477008e+06 3.446e-04
4.17024549974460e+06 2.916e-04
4.17128346060658e+06 2.489e-04
4.17218615508354e+06 2.164e-04
4.17294617630416e+06 1.822e-04
4.17359695477825e+06 1.560e-04
4.17418671518663e+06 1.413e-04
4.17474195574545e+06 1.330e-04
4.17517406155041e+06 1.035e-04
4.17554025892903e+06 1.000e+00
