,name,handle,url,additional info
162,Wilhelm von Gottberg,@vonGottberg_AfD,https://twitter.com/vonGottberg_AfD,"MdB Wilhelm von Gottberg, Bundestagsabgeordneter der #*AfD*"
163,Jan Nolte,@Jan_Nolte_AfD,https://twitter.com/Jan_Nolte_AfD,"Jan Nolte, #*AfD* <https://twitter.com/hashtag/AfD?src=hash>-MdB."
164,FranziskaGminder,@Gminder_AfD,https://twitter.com/Gminder_AfD,"Franziska Gminder, @*AfDimBundestag*"
165,Prof.Dr.Hessenkemper,@HessenkemperAfD,https://twitter.com/HessenkemperAfD,"Prof. Dr.-Ing. Heiko Hessenkemper, @*AfDimBundestag*"
166,Lars Herrmann,@Herrmann_AfD,https://twitter.com/Herrmann_AfD,"Offizieller Account von Lars Herrmann, Mitglied der"
167,Waldemar Herdt,@WaldemarHerdt,https://twitter.com/WaldemarHerdt,"Waldemar Herdt, @*AfDimBundestag*"
168,Ulrich Oehme,@Ulrich_Oehme,https://twitter.com/Ulrich_Oehme,"Ulrich Oehme, @*AfDimBundestag*"
169,Peter Felser,@PeterFelser,https://twitter.com/PeterFelser,"MdB Peter #*Felser* <https://twitter.com/hashtag/Felser?src=hash>,"
170,Dietmar Friedhoff,@Friedhoff_AfD,https://twitter.com/Friedhoff_AfD,"Dietmar Friedhoff, MdB der @*AfDimBundestag*"
171,Matthias Bartke,@matthiasbartke,https://twitter.com/matthiasbartke,Für #*Altona* <https://twitter.com/hashtag/Altona?src=hash> im
172,A.Widmann-Mauz,@AWidmannMauz,https://twitter.com/AWidmannMauz,#*MdB* <https://twitter.com/hashtag/MdB?src=hash> Wahlkreis
173,Victor Perli,@victorperli,https://twitter.com/victorperli,Bundestagsmitglied. Aufgabe: soziale Opposition. Methode: Finanzen
174,Svenja Stadler,@stadler_svenja,https://twitter.com/stadler_svenja,"MdB, Wahlkreis LK Harburg, Sprecherin für Bürgerschaftliches"
175,Karl Lauterbach,@Karl_Lauterbach,https://twitter.com/Karl_Lauterbach,"SPD Bundestagsabgeordneter, der noch selbst tweetet"
176,Thomas Ehrhorn,@Thomas_Ehrhorn,https://twitter.com/Thomas_Ehrhorn,@*AfDimBundestag* <https://twitter.com/AfDimBundestag>-MdB der
177,Jens Kestner,@JensKestnerAfD,https://twitter.com/JensKestnerAfD,@*AfDimBundestag* <https://twitter.com/AfDimBundestag>-MdB der
179,Andreas Steier,@AndreasSteier,https://twitter.com/AndreasSteier,Direkt gewählt in den Bundestag für Trier und Trier-Saarburg |
180,Torbjörn Kartes,@KartesMdB,https://twitter.com/KartesMdB,"Mitglied des Deutschen Bundestages, direkt gewählt von den Menschen"
181,Siegbert Dröse,@Siegbert_Droese,https://twitter.com/Siegbert_Droese,"Siegbert Dröse, @*AfDimBundestag*"
182,Dr. Heiko Wildberg,@Heiko_Wildberg,https://twitter.com/Heiko_Wildberg,"Dr. Heiko Wildberg, @*AfDimBundestag*"
183,"Jürgen Spenrath, stellv Landessprecher der  NRW",@Spenrath_AfD,https://twitter.com/Spenrath_AfD,"Jürgen Spenrath, stellvertretender @*AlternativeNRW*"
184,Nicole Höchst,@Nicole_Hoechst,https://twitter.com/Nicole_Hoechst,"Nicole Höchst, Abgeordnete der @*AfDimBundestag*"
185,Marie-Agnes Strack-Zimmermann,@MAStrackZi,https://twitter.com/MAStrackZi,Stellv. FDP-Bundesvorsitzende | MdB | Sprecherin für
186,Bernd Baumann,@BerndBaumannAfD,https://twitter.com/BerndBaumannAfD,"MdB Bernd #*Baumann* <https://twitter.com/hashtag/Baumann?src=hash>,"
187,Michael Georg Link,@michael_g_link,https://twitter.com/michael_g_link,Former Minister of State and Member of the German Bundestag;
188,Gabriele Katzmarek,@GabyKatzmarek,https://twitter.com/GabyKatzmarek,"Hier twittert Gabriele Katzmarek, #*MdB*"
189,Peter Stein,@Peter_Stein_CDU,https://twitter.com/Peter_Stein_CDU,Abgeordenter im Deutschen Bundestag für die Hansestadt Rostock und
190,Marcus Held,@MarcusHeld_SPD,https://twitter.com/MarcusHeld_SPD,http://facebook.com/mdbmarcus.held  <https://t.co/KWxXruqQUB>
191,Daniela De Ridder,@DeRidder_MdB,https://twitter.com/DeRidder_MdB,SPD-Bundestagsabgeordnete | Wahlkreis Mittelems |
192,Ulla Jelpke,@UllaJelpke,https://twitter.com/UllaJelpke,innenpolitische Sprecherin der @*linksfraktion*
193,Alexander Radwan,@AlexanderRadwan,https://twitter.com/AlexanderRadwan,"Alexander Radwan, MdB ist direkt gewählter Abgeordneter für den"
194,Michael Groß,@michaelgrossmdb,https://twitter.com/michaelgrossmdb,"SPD Bundestagsabgeordneter Wahlkreis Recklinghausen II - Datteln,"
195,Fritz Felgentreu,@fritzfelgentreu,https://twitter.com/fritzfelgentreu,Mitglied des Deutschen Bundestages für #*Neukölln*
196,Thomas Bareiß,@Thomas_Bareiss,https://twitter.com/Thomas_Bareiss,Parl. Staatssekretär im @*BMWi_bund* <https://twitter.com/BMWi_bund>
197,Torsten Schweiger,@cdu_schweiger,https://twitter.com/cdu_schweiger,
198,Stefan Ruppert,@ruppert_stefan,https://twitter.com/ruppert_stefan,Mitglied des Bundestages | Parlamentarischer Geschäftsführer der
199,Markus Koob,@KoobMar,https://twitter.com/KoobMar,
200,Andreas Mrosek,@mrosek1958,https://twitter.com/mrosek1958,Alternative für Deutschland
201,Lothar Binding,@Lothar_Binding,https://twitter.com/Lothar_Binding,Finanzpolitischer Sprecher der SPD-Bundestagsfraktion @*spdbt*
202,Cornelia Möhring,@Conni_Moehring,https://twitter.com/Conni_Moehring,Frauenpolitische Sprecherin und Stellv. Fraktionsvorsitzende der
203,Uwe Kamann,@uwe_kamann,https://twitter.com/uwe_kamann,Obmann im Ausschuss Digitale Agenda| Fachpolitischer Sprecher
204,Martin Reichardt,@M_Reichardt_AfD,https://twitter.com/M_Reichardt_AfD,Sprecher der #*AfD*
205,Martin E. Renner,@Renner_AfD,https://twitter.com/Renner_AfD,"Martin E. Renner, @*AfDimBundestag*"
206,Zaklin Nastic,@ZaklinNastic,https://twitter.com/ZaklinNastic,"Mitglied des Deutschen Bundestages Fraktion DIE LINKE,"
207,Johannes Huber,@Huber_AfD,https://twitter.com/Huber_AfD,"Johannes Huber, @*AfDimBundestag*"
